2026-09-17 00:09:49 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:09:49 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:10:50 | INFO     | ml_threshold | Threshold sweep completed across 100 operating points.
2026-09-17 00:10:50 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.7623, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:16:56 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:16:56 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:17:27 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:17:27 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:23:55 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:23:55 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:24:20 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:24:20 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:25:46 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:25:46 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:32:44 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:32:44 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
2026-09-17 00:36:26 | INFO     | ml_threshold | Threshold sweep completed across 20 operating points.
2026-09-17 00:36:26 | INFO     | ml_threshold | Threshold Selected (max_f1): Threshold=0.4226, F1=1.0000, Recall=1.0000, FPR=0.0000
