TransactionID,isFraud,TransactionDT,TransactionAmt,card1,DeviceType,DeviceInfo,P_emaildomain,ProductCD,C1,C2,C3,C4,C5,V1,V2,V3,V4,V5,tx_hour_of_day,tx_day_of_cycle,tx_day_index,time_since_prev_tx,card1_prior_tx_count,card1_prior_amount_mean,card1_prior_amount_max,card1_amount_deviation_from_prior_mean,graph_card1_prior_degree,graph_shared_device_prior_tx_count,graph_shared_email_prior_tx_count,graph_neighborhood_prior_amt_sum,graph_neighborhood_prior_amt_mean,graph_relational_risk_score,y_true,y_prob,y_pred,error_type
2989000,1,2081851,261.2038002160453,1485,desktop,,hotmail.com,C,8.0,1.0,2.0,1.0,3.0,2.6178555044945244,-1.0312171595787436,-0.6595271507128677,-0.07479286893611085,2.3856597019552517,2,3,24,187841.0,6,108.78192152233578,222.73152913401458,152.42187869370952,6,393,404,652.6915291340147,108.78192152233578,6.391246872080648,1,0.9999999842637675,1,TP
2989001,0,2082455,77.97,1004,desktop,,anonymous.com,W,0.0,2.0,0.0,2.0,4.0,0.8131108814144848,-0.5568960405394962,-0.17946581891279842,0.46119988836307985,-0.7826422216084279,2,3,24,690053.0,3,57.21333333333334,128.67,20.75666666666666,3,394,372,171.64000000000001,57.21333333333334,6.365266974707305,0,4.966034782801663e-17,0,TN
2989002,0,2084597,276.78,1445,,Windows,gmail.com,W,4.0,2.0,3.0,2.0,3.0,1.502189639044374,0.24728213377355718,0.7623885106675673,-0.04951836408770023,-0.8726800254629117,3,3,24,,0,,,,0,376,403,0.0,0.0,6.360438546633731,0,1.432003978625188e-11,0,TN
2989003,0,2085071,37.87,1196,,iOS Device,,R,1.0,1.0,1.0,1.0,3.0,-1.2513144705804404,-0.21031654751234016,-0.9492410329664175,-0.5208298055551263,0.21166059333508644,3,3,24,295294.0,4,79.0375,129.57,-41.1675,4,423,384,316.15,79.0375,6.42389610344596,0,3.2157904569719307e-22,0,TN
2989004,0,2085654,204.67,1179,,Windows,,W,3.0,4.0,4.0,2.0,1.0,0.716896873325589,-0.4285075486671713,-0.8875343988726819,-0.19770343256142378,-0.752678618108265,3,3,24,128469.0,3,163.68333333333334,312.11,40.98666666666665,3,377,385,491.05,163.68333333333334,6.347038885602681,0,7.837062257508897e-17,0,TN
2989005,0,2086052,145.43,1341,,,anonymous.com,C,2.0,4.0,1.0,1.0,2.0,-1.3254095755004554,0.676338918657388,-0.17064105672002547,1.343205042801711,-0.1797418746087017,3,3,24,920069.0,5,50.936,98.69,94.494,5,395,373,254.68,50.936,6.368187186350492,0,7.886712498256566e-17,0,TN
2989006,0,2087009,29.48,1132,mobile,SM-G935F Build/NRD90M,,S,3.0,1.0,4.0,0.0,4.0,-0.657685030820274,0.44619389000917725,-0.011168853630267699,-0.6864157613165393,-1.7971806146854856,3,3,24,141027.0,2,177.88,298.18,-148.4,2,397,386,355.76,177.88,6.382154369633992,0,1.390872803822846e-22,0,TN
2989007,0,2087296,4.7,1442,mobile,Windows,hotmail.com,S,1.0,4.0,1.0,1.0,2.0,,0.45280635348924586,0.7876266818893658,-0.2084254553588291,-0.022564240462094234,3,3,24,119721.0,2,58.745000000000005,102.92,-54.045,2,378,405,117.49000000000001,58.745000000000005,6.365954850916716,0,1.1756896559455226e-88,0,TN
2989008,0,2087391,11.74,1323,mobile,,,R,0.0,3.0,2.0,1.0,3.0,-1.7746911496167403,-0.07617622186939438,0.22283818631464977,-1.3582651850024057,-0.5445464171491853,3,3,24,15782.0,9,106.64444444444445,272.86,-94.90444444444445,9,396,387,959.8000000000001,106.64444444444445,6.382492607418377,0,2.8650709245568355e-20,0,TN
2989009,0,2088724,131.38,1252,desktop,Windows,anonymous.com,C,2.0,0.0,1.0,2.0,2.0,-0.685108167663884,-0.714220621641616,0.4479484612036069,-1.5087026842746587,-0.2018357453544075,4,3,24,667582.0,3,159.11846566823473,461.90539700470424,-27.73846566823474,3,379,374,477.35539700470423,159.11846566823473,6.340888264332522,0,9.295270786681017e-20,0,TN
2989010,0,2089419,23.27,1264,,,hotmail.com,W,0.0,0.0,3.0,3.0,0.0,-0.08499615913907843,-1.257335323075483,0.15183011002648997,-1.2361785267116208,0.6138449884901979,4,3,24,91392.0,4,38.7175,112.17,-15.447500000000002,4,397,406,154.87,38.7175,6.399260270554429,0,2.602233458191052e-26,0,TN
