feature,importance
C1,0.4038272771263469
V1,0.22772348036974335
TransactionAmt,0.13167632228195647
card1_amount_deviation_from_prior_mean,0.05471824118103801
card1,0.016326823501206338
graph_shared_email_prior_tx_count,0.011276897241894415
V2,0.011266180176123818
graph_relational_risk_score,0.011190952030318509
tx_hour_of_day,0.010715001310551458
V3,0.00989023666887984
V4,0.009501475147078725
V5,0.009407546360356607
time_since_prev_tx,0.008368669175207379
card1_prior_amount_mean,0.008185193226577629
card1_prior_amount_max,0.00806007773124093
graph_shared_device_prior_tx_count,0.007458475005562659
graph_neighborhood_prior_amt_mean,0.0067607107262092
graph_neighborhood_prior_amt_sum,0.006219568649562695
tx_day_index,0.006102371745586827
tx_day_of_cycle,0.004331527900450525
DeviceType_mobile,0.00403026426698491
P_emaildomain_gmail.com,0.0030652454825940006
DeviceInfo_SM-G935F Build/NRD90M,0.002828499885363622
C5,0.0028203783099401635
C3,0.0027363226337336812
DeviceType_desktop,0.0027021533676698435
C2,0.0023560897119351107
graph_card1_prior_degree,0.001680200738262109
ProductCD_C,0.0015998141409424846
P_emaildomain_yahoo.com,0.0014427952120729568
V1_was_missing,0.00135559702855398
C4,0.001343344142364526
ProductCD_H,0.001163845264833826
card1_prior_amount_max_was_missing,0.0009683557373285257
ProductCD_S,0.0008947440882377125
P_emaildomain_anonymous.com,0.0007434608984690886
ProductCD_R,0.0007181718615023189
P_emaildomain_hotmail.com,0.0006667402100885789
ProductCD_W,0.0006343828500579782
time_since_prev_tx_was_missing,0.0005043585779610586
card1_prior_amount_mean_was_missing,0.000493712268736132
card1_prior_tx_count,0.0003946177701437367
P_emaildomain_None,0.000342521044453656
DeviceInfo_None,0.00033812251003734835
DeviceInfo_Windows,0.00031539200026755985
DeviceInfo_MacOS,0.00027906927196380283
DeviceInfo_iOS Device,0.0002571284173742076
DeviceType_None,0.00017564533459172563
card1_amount_deviation_from_prior_mean_was_missing,0.00014199941764302812
