2026-09-17 00:10:42 | INFO     | experiment_runner | Starting Phase 3 Machine Learning Fraud Intelligence Pipeline...
2026-09-17 00:10:42 | INFO     | experiment_runner | Raw IEEE-CIS dataset not present in C:\Users\DELL\Downloads\JURIS\FinSight-AI\data\raw. Running in SYNTHETIC DEMONSTRATION MODE.
2026-09-17 00:10:42 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=2500 samples)...
2026-09-17 00:10:43 | INFO     | experiment_runner | Preprocessor fit on train set and serialized to preprocessor.joblib.
2026-09-17 00:10:43 | INFO     | experiment_runner | --- EXPERIMENT 1: BASELINE ML ---
2026-09-17 00:10:44 | INFO     | experiment_runner | --- EXPERIMENT 2: CLASS IMBALANCE HANDLING ---
2026-09-17 00:10:46 | INFO     | experiment_runner | --- EXPERIMENT 3: ANOMALY DETECTION FUSION ---
2026-09-17 00:10:47 | INFO     | experiment_runner | --- EXPERIMENT 4: GRAPH FEATURE ENGINEERING & ABLATION ---
2026-09-17 00:10:49 | INFO     | experiment_runner | Selecting Final Candidate Model and executing Probability Calibration...
2026-09-17 00:10:55 | INFO     | experiment_runner | Phase 3 Experiment Pipeline successfully executed end-to-end!
2026-09-17 00:16:53 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:16:53 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:16:53 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:16:53 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:16:53 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:16:53 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:16:54 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:17:23 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:17:24 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:17:24 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:17:24 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:17:24 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:17:24 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:17:25 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:12 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:12 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:12 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:12 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:12 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:12 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:50 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:50 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:50 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:50 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:50 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:50 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:23:51 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:24:16 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:24:16 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:24:16 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
2026-09-17 00:24:16 | INFO     | experiment_runner | Generating synthetic IEEE-CIS dataset fixture (n=50 samples)...
