2026-09-17 00:16:54 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:16:54 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:16:55 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:16:55 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:16:55 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:16:55 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:16:55 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:16:55 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:16:55 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:17:25 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:17:25 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:17:26 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:17:26 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:17:26 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:17:26 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:17:26 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:17:26 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:17:26 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:23:51 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:23:51 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:23:52 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:23:52 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:23:52 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:23:52 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:23:54 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:23:54 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:23:54 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:24:17 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:24:17 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:24:18 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:24:18 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:24:18 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:24:18 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:24:20 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:24:20 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:24:20 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:25:44 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:25:44 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:25:44 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:25:44 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:25:44 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:25:44 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:25:45 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:25:45 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:25:45 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:26 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:26 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:32:26 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:27 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:27 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:42 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:42 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:32:42 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:42 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:42 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:43 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:43 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:43 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:43 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:43 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:43 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
2026-09-17 00:32:44 | INFO     | fraud_investigator | FraudInvestigatorAgent synthesizing case for Tx=2987015...
2026-09-17 00:32:44 | WARNING  | fraud_investigator | Stripping invalid citations from response: ['RAG-001']
2026-09-17 00:32:44 | INFO     | fraud_investigator | FraudInvestigatorAgent complete for Tx=2987015 (Tier=High Risk).
